,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
1666,NonResidential,Other,1,DELRIDGE,47.53366,-122.33733,1963,1,0,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",Office,10185.0,137.3999939,1803514.875,0.0,719779.0,False,Compliant,52.41,2.25
1667,Multifamily LR (1-4),Low-Rise Multifamily,1,DELRIDGE,47.53212,-122.34509,1988,3,0,"Multifamily Housing, Other",Multifamily Housing,Other,3155.0,100.0,5045478.5,0.0,4605827.0,False,Compliant,39.57,0.13
1668,NonResidential,Small- and Mid-Sized Office,1,DELRIDGE,47.53309,-122.33977,1988,2,0,"Data Center, Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,8653.0,180.1000061,2828171.5,0.0,1804388.0,False,Compliant,55.85,1.82
1669,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.63132,-122.34136,1920,2,0,Other,Other,Rien,28444.075817081597,74.5,1138349.25,0.0,458796.0,False,Compliant,32.58,1.2
1670,NonResidential,Other,5,NORTHWEST,47.70969,-122.34557,1970,1,0,Other,Other,Rien,28444.075817081597,157.5,3648465.5,0.0,3.0,False,Compliant,184.6,7.97
1671,NonResidential,Medical Office,5,NORTHWEST,47.70558,-122.33486,1979,2,0,"Medical Office, Parking",Medical Office,Parking,0.0,114.8000031,1633105.375,0.0,1633105.0,False,Compliant,11.39,0.33
1672,NonResidential,Hospital,5,NORTHWEST,47.71425,-122.33689,1966,1,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),Parking,266833.0,400.2000122,100328264.0,0.0,42864158.0,False,Compliant,3278.11,7.89
1673,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.71244,-122.34181,1999,3,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Office,40.0,163.5,2024134.875,0.0,1943933.0,False,Compliant,13.55,0.45
1674,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.72659,-122.3306,1968,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,74.09999847,595017.875,0.0,567608.0,False,Compliant,3.96,0.16
1675,NonResidential,Worship Facility,5,NORTHWEST,47.71745,-122.33221,1965,2,0,"Medical Office, Office, Worship Facility",Worship Facility,Medical Office,1025.0,66.09999847,1781436.375,0.0,704681.0,False,Compliant,53.21,1.19
1676,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,47.61866,-122.30572,1972,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,90.5,620477.875,0.0,586848.0,False,Compliant,4.09,0.2
1677,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,47.61824,-122.30588,1927,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,112.9000015,1957870.75,0.0,314076.0,False,Compliant,78.29,3.55
1678,NonResidential,Supermarket / Grocery Store,2,GREATER DUWAMISH,47.57894,-122.31287,1965,1,0,Supermarket/Grocery Store,Supermarket/Grocery Store,Rien,28444.075817081597,660.9000244,5927199.5,0.0,3900058.0,False,Compliant,129.89,6.01
